sample,in_l_16,out_l_16
360,6752,32767
361,9665,32767
362,24283,32767
363,13561,32767
364,-1230,32767
365,2317,32767
366,1088,32767
367,-3398,32767
368,1453,32767
369,-7491,32767
370,-24026,16823
371,-15037,2182
372,-4328,-850
373,-19225,-10293
374,-28371,-32768
375,-21939,-32768
376,-23814,-32768
377,-23415,-32768
378,-16585,-32768
379,-27231,-32768
380,-32768,-32768
381,-18949,-32768
382,-10589,-32768
383,-24224,-32768
384,-24460,-32768
385,-14813,-32768
386,-14787,-32768
387,-8015,-32768
388,-570,-32768
389,-11688,-32768
390,-11878,-32768
391,9828,-32768
392,13141,-32768
393,1046,-32768
394,6534,-32768
395,14699,-32768
396,14375,-2647
397,23186,32767
398,25501,32767
399,11629,32767
400,16544,32767
401,32767,32767
402,29301,32767
403,16722,32767
404,22475,32767
405,24386,32767
406,21518,32767
407,27935,32767
408,21419,32767
409,4965,32767
410,12821,32767
411,24497,32767
412,9869,32767
413,-1595,32767
414,3101,32767
415,-221,32767
416,-2881,32767
417,1556,32767
418,-11094,32767
419,-24548,12660
420,-11733,1284
421,-5454,-1547
422,-22443,-13965
423,-27626,-32768
424,-21386,-32768
425,-24638,-32768
426,-21962,-32768
427,-16923,-32768
428,-30303,-32768
429,-32768,-32768
430,-15435,-32768
431,-12282,-32768
432,-26021,-32768
433,-22507,-32768
434,-14234,-32768
435,-14588,-32768
436,-5799,-32768
437,-1416,-32768
438,-13769,-32768
439,-8668,-32768
440,12751,-32768
441,10886,-32768
442,468,-32768
443,8744,-32768
444,14773,-32768
445,15112,5283
446,25038,32767
447,23480,32767
448,10218,32767
449,20222,32767
450,32767,32767
451,26187,32767
452,16644,32767
453,23830,32767
454,23507,32767
455,22224,32767
456,28485,32767
457,18073,32767
458,4189,32767
459,16141,32767
460,23611,32767
461,6360,32767
462,-1283,32767
463,3468,32767
464,-1499,32767
465,-1986,32767
466,936,32767
467,-14780,32767
468,-23971,9231
469,-8708,669
470,-7546,-2566
471,-25118,-18379
472,-26432,-32768
473,-21312,-32768
474,-25182,-32768
475,-20342,-32768
476,-18064,-32768
477,-32768,-32768
478,-32136,-32768
479,-12603,-32768
480,-14660,-32768
481,-27053,-32768
482,-20411,-32768
483,-14079,-32768
484,-13948,-32768
485,-3716,-32768
486,-3009,-32768
487,-15145,-32768
488,-4769,-32768
489,14694,-32768
490,8312,-32768
491,703,-32768
492,10789,-32768
493,14577,-28143
494,16330,13017
495,26438,32767
496,20921,32767
497,9774,32767
498,24166,32767
499,32767,32767
500,23155,32767
