Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
0,0,1,4956831,4724980,4856160,4771404,1
1,1,0,4956831,4734043,5005166,4771404,1
2,2,0,4899605,4734043,5005166,4780538,1
3,3,0,4899605,4748019,4947537,4780538,1
4,4,0,4778005,4748019,4947537,4794637,1
5,5,0,4778005,4756941,4825228,4794637,1
6,6,0,4879821,4756941,4825228,4803630,1
7,7,0,4879821,4764496,4928189,4803630,1
8,8,0,4479870,4764496,4928189,4811314,1
9,9,0,4479870,4763067,4524396,4811314,1
10,10,0,4721899,4763067,4524396,4809904,1
11,11,0,4721899,4750894,4768204,4809904,1
12,12,0,4844672,4750894,4768204,4797648,1
13,13,0,4844672,4754512,4892134,4797648,1
14,14,0,4631201,4754512,4892134,4801304,1
15,15,0,4631201,4754322,4676846,4801304,1
16,16,0,4614988,4754322,4676846,4801105,1
17,17,0,4614988,4734814,4660297,4801105,1
18,18,0,4323802,4734814,4660297,4781416,1
19,19,0,4323802,4749064,4366440,4781416,1
20,20,0,4941356,4749064,4366440,4795761,1
21,21,0,4941356,4730929,4990070,4795761,1
22,22,0,4490758,4730929,4990070,4777480,1
23,23,0,4490758,4727531,4535058,4777480,1
24,24,0,4794778,4727531,4535058,4774050,1
25,25,0,4794778,4721219,4841387,4774050,1
26,26,0,4917751,4721219,4841387,4767672,1
27,27,0,4917751,4714953,4966384,4767672,1
28,28,0,4828804,4714953,4966384,4761333,1
29,29,0,4828804,4713705,4876166,4761333,1
30,30,0,4915840,4713705,4876166,4760094,1
31,31,0,4915840,4728206,4963937,4760094,1
32,32,0,4780307,4728206,4963937,4774722,1
33,33,0,4780307,4741610,4827323,4774722,1
34,34,0,4847737,4741610,4827323,4788254,1
35,35,0,4847737,4730164,4895309,4788254,1
36,36,0,4961521,4730164,4895309,4776700,1
37,37,0,4961521,4736435,5010507,4776700,1
38,38,0,4277814,4736435,5010507,4782999,1
39,39,0,4277814,4752292,4320123,4782999,1
40,40,0,4628187,4752292,4320123,4799017,1
41,41,0,4628187,4725835,4673320,4799017,1
42,42,0,5018501,4725835,4673320,4772320,1
43,43,0,5018501,4709467,5067345,4772320,1
44,44,0,4789480,4709467,5067345,4755792,1
45,45,0,4789480,4715388,4836580,4755792,1
46,46,0,4974534,4715388,4836580,4761759,1
47,47,0,4974534,4715960,5023557,4761759,1
48,48,0,4841323,4715960,5023557,4762324,1
49,49,0,4841323,4720677,4888863,4762324,1
50,50,0,4718875,4720677,4888863,4767074,1
51,51,0,4718875,4738679,4765691,4767074,1
52,52,0,4653204,4738679,4765691,4785226,1
53,53,0,4653204,4738528,4698925,4785226,1
54,54,0,4982521,4738528,4698925,4785101,1
55,55,0,4982521,4728992,5030929,4785101,1
56,56,0,4444218,4728992,5030929,4775479,1
57,57,0,4444218,4746490,4488343,4775479,1
58,58,0,4364596,4746490,4488343,4793114,1
59,59,0,4364596,4737985,4407389,4793114,1
60,60,0,4781946,4737985,4407389,4784549,1
61,61,0,4781946,4740016,4829022,4784549,1
62,62,0,4728578,4740016,4829022,4786589,1
63,63,0,4728578,4732077,4775779,4786589,1
64,64,0,4246730,4732077,4775779,4778568,1
65,65,0,4246730,4743922,4288806,4778568,1
66,66,0,4725918,4743922,4288806,4790557,1
67,67,0,4725918,4716626,4772444,4790557,1
68,68,0,4969683,4716626,4772444,4763036,1
69,69,0,4969683,4707072,5018854,4763036,1
70,70,0,4402377,4707072,5018854,4753377,1
71,71,0,4402377,4714089,4445794,4753377,1
72,72,0,4729971,4714089,4445794,4760483,1
73,73,0,4729971,4688516,4776664,4760483,1
74,74,0,4925316,4688516,4776664,4734677,1
75,75,0,4925316,4686009,4973521,4734677,1
76,76,0,4815739,4686009,4973521,4732154,1
77,77,0,4815739,4689872,4862901,4732154,1
78,78,0,4896542,4689872,4862901,4736050,1
79,79,0,4896542,4682612,4944952,4736050,1
80,80,0,4772873,4682612,4944952,4728698,1
81,81,0,4772873,4713427,4819959,4728698,1
82,82,0,4882667,4713427,4819959,4759817,1
83,83,0,4882667,4720633,4931001,4759817,1
84,84,0,4758621,4720633,4931001,4767121,1
85,85,0,4758621,4713868,4805001,4767121,1
86,86,0,4914165,4713868,4805001,4760330,1
87,87,0,4914165,4712331,4962224,4760330,1
88,88,0,4326199,4712331,4962224,4758757,1
89,89,0,4326199,4709325,4369691,4758757,1
90,90,0,4579561,4709325,4369691,4755703,1
91,91,0,4579561,4683669,4624487,4755703,1
92,92,0,4663282,4683669,4624487,4729846,1
93,93,0,4663282,4676731,4709553,4729846,1
94,94,0,4155666,4676731,4709553,4722813,1
95,95,0,4155666,4677233,4196431,4722813,1
96,96,0,4784512,4677233,4196431,4723342,1
97,97,0,4784512,4636051,4831351,4723342,1
98,98,0,4840590,4636051,4831351,4681780,1
99,99,0,4840590,4653000,4887950,4681780,1
100,100,0,4861443,4653000,4887950,4698864,1
101,101,0,4861443,4676706,4909405,4698864,1
102,102,0,4693600,4676706,4909405,4722798,1
103,103,0,4693600,4680666,4740237,4722798,1
104,104,0,4698596,4680666,4740237,4726801,1
105,105,0,4698596,4678924,4745078,4726801,1
106,106,0,4796028,4678924,4745078,4725031,1
107,107,0,4796028,4701429,4843531,4725031,1
108,108,0,4826544,4701429,4843531,4747756,1
109,109,0,4826544,4704920,4874146,4747756,1
110,110,0,4849505,4704920,4874146,4751296,1
111,111,0,4849505,4697791,4897207,4751296,1
112,112,0,4699871,4697791,4897207,4744089,1
113,113,0,4699871,4720060,4746003,4744089,1
114,114,0,4681251,4720060,4746003,4766572,1
115,115,0,4681251,4718561,4727997,4766572,1
116,116,0,4811760,4718561,4727997,4765044,1
117,117,0,4811760,4706406,4859199,4765044,1
118,118,0,4840843,4706406,4859199,4752816,1
