Sample in Buffer,Sample in Window,TRIGGER,input_L[23:0],output_L[23:0],r_data_rx[23:0],r_data_filt[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
1257,1257,0,1085155,-3163125,1094996,-4211554,1
1258,1258,0,1636114,-3163125,1094996,-3194014,1
1259,1259,0,1636114,-2464212,1651551,-3194014,1
1260,1260,0,1489351,-2464212,1651551,-2488242,1
1261,1261,0,1489351,-1977412,1503487,-2488242,1
1262,1262,0,2335140,-1977412,1503487,-1996655,1
1263,1263,0,2335140,-1154011,2356934,-1996655,1
1264,1264,0,4091110,-1154011,2356934,-1165408,1
1265,1265,0,4091110,40459,4129347,-1165408,1
1266,1266,0,5029938,40459,4129347,40449,1
1267,1267,0,5029938,1038794,5077717,40449,1
1268,1268,0,4679987,1038794,5077717,1048410,1
1269,1269,0,4679987,1611894,4724817,1048410,1
1270,1270,0,4638599,1611894,4724817,1627025,1
1271,1271,0,4638599,2229522,4682946,1627025,1
1272,1272,0,5800798,2229522,4682946,2250446,1
1273,1273,0,5800798,3228639,5855799,2250446,1
1274,1274,0,6817935,3228639,5855799,3258968,1
1275,1275,0,6817935,4209365,6883699,3258968,1
1276,1276,0,6401027,4209365,6883699,4249140,1
1277,1277,0,6401027,4691513,6462667,4249140,1
1278,1278,0,5495673,4691513,6462667,4736146,1
1279,1279,0,5495673,4911441,5548468,4736146,1
1280,1280,0,5676198,4911441,5548468,4958297,1
1281,1281,0,5676198,5396205,5730312,4958297,1
1282,1282,0,6448445,5396205,5730312,5447754,1
1283,1283,0,6448445,6046053,6510018,5447754,1
1284,1284,0,6092040,6046053,6510018,6103971,1
1285,1285,0,6092040,6288909,6150994,6103971,1
1286,1286,0,4624043,6288909,6150994,6349341,1
1287,1287,0,4624043,6047970,4669059,6349341,1
1288,1288,0,3761058,6047970,4669059,6106095,1
1289,1289,0,3761058,5865672,3796954,6106095,1
1290,1290,0,4029658,5865672,3796954,5921845,1
1291,1291,0,4029658,5972789,4068357,5921845,1
1292,1292,0,3852470,5972789,4068357,6029976,1
1293,1293,0,3852470,5896686,3889741,6029976,1
1294,1294,0,2298812,5896686,3889741,5953381,1
1295,1295,0,2298812,5273570,2321461,5953381,1
1296,1296,0,674333,5273570,2321461,5324471,1
1297,1297,0,674333,4482124,681146,5324471,1
1298,1298,0,336078,4482124,681146,4525372,1
1299,1299,0,336078,4009713,339156,4525372,1
1300,1300,0,384962,4009713,339156,4048293,1
1301,1301,0,384962,3637206,388543,4048293,1
1302,1302,0,-751034,3637206,388543,3672285,1
1303,1303,0,-751034,2834308,-757218,3672285,1
1304,1304,0,-2613418,2834308,-757218,2861865,1
1305,1305,0,-2613418,1689238,-2637806,2861865,1
1306,1306,0,-3458661,1689238,-2637806,1705784,1
1307,1307,0,-3458661,784235,-3491319,1705784,1
1308,1308,0,-3214809,784235,-3491319,791905,1
1309,1309,0,-3214809,227498,-3246135,791905,1
1310,1310,0,-3569062,227498,-3246135,229822,1
1311,1311,0,-3569062,-501737,-3602779,229822,1
1312,1312,0,-5067890,-501737,-3602779,-506158,1
1313,1313,0,-5067890,-1633744,-5116019,-506158,1
1314,1314,0,-6150905,-1633744,-5116019,-1648781,1
1315,1315,0,-6150905,-2684829,-6210116,-1648781,1
1316,1316,0,-5804400,-2684829,-6210116,-2710095,1
1317,1317,0,-5804400,-3254864,-5860214,-2710095,1
1318,1318,0,-5263368,-3254864,-5860214,-3285876,1
1319,1319,0,-5263368,-3682524,-5313926,-3285876,1
1320,1320,0,-5915973,-3682524,-5313926,-3717671,1
1321,1321,0,-5915973,-4439996,-5972513,-3717671,1
1322,1322,0,-6883938,-4439996,-5972513,-4482368,1
1323,1323,0,-6883938,-5301692,-6949935,-4482368,1
1324,1324,0,-6550052,-5301692,-6949935,-5352393,1
1325,1325,0,-6550052,-5706846,-6613389,-5352393,1
1326,1326,0,-5309733,-5706846,-6613389,-5761635,1
1327,1327,0,-5309733,-5700484,-5360746,-5761635,1
1328,1328,0,-4895789,-5700484,-5360746,-5755234,1
1329,1329,0,-4895789,-5841293,-4942751,-5755234,1
1330,1330,0,-5428433,-5841293,-4942751,-5897296,1
1331,1331,0,-5428433,-6235461,-5480591,-5897296,1
1332,1332,0,-5221544,-6235461,-5480591,-6295288,1
1333,1333,0,-5221544,-6348768,-5272413,-6295288,1
1334,1334,0,-3682214,-6348768,-5272413,-6409804,1
1335,1335,0,-3682214,-5916543,-3717909,-6409804,1
1336,1336,0,-2331698,-5916543,-3717909,-5973487,1
1337,1337,0,-2331698,-5398400,-2354257,-5973487,1
1338,1338,0,-2251189,-5398400,-2354257,-5450309,1
1339,1339,0,-2251189,-5196638,-2272578,-5450309,1
1340,1340,0,-2232691,-5196638,-2272578,-5246658,1
1341,1341,0,-2232691,-4979491,-2254530,-5246658,1
1342,1342,0,-887929,-4979491,-2254530,-5027608,1
1343,1343,0,-887929,-4261182,-896781,-5027608,1
1344,1344,0,954458,-4261182,-896781,-4302488,1
1345,1345,0,954458,-3250212,962610,-4302488,1
1346,1346,0,1639593,-3250212,962610,-3281674,1
1347,1347,0,1639593,-2513555,1655135,-3281674,1
1348,1348,0,1477011,-2513555,1655135,-2537795,1
1349,1349,0,1477011,-2031129,1491193,-2537795,1
1350,1350,0,2189936,-2031129,1491193,-2050772,1
1351,1351,0,2189936,-1256181,2210675,-2050772,1
1352,1352,0,3933946,-1256181,2210675,-1268616,1
1353,1353,0,3933946,-76728,3970943,-1268616,1
1354,1354,0,5005960,-76728,3970943,-78011,1
1355,1355,0,5005960,962700,5053652,-78011,1
1356,1356,0,4732412,962700,5053652,971485,1
1357,1357,0,4732412,1562935,4777374,971485,1
1358,1358,0,4588171,1562935,4777374,1577659,1
1359,1359,0,4588171,2151393,4631591,1577659,1
1360,1360,0,5660249,2151393,4631591,2171792,1
1361,1361,0,5660249,3121818,5713805,2171792,1
1362,1362,0,6779307,3121818,5713805,3151376,1
1363,1363,0,6779307,4133529,6844576,3151376,1
1364,1364,0,6491647,4133529,6844576,4172707,1
1365,1365,0,6491647,4666377,6553573,4172707,1
1366,1366,0,5548070,4666377,6553573,4710664,1
1367,1367,0,5548070,4884672,5601162,4710664,1
1368,1368,0,5608681,4884672,5601162,4931008,1
1369,1369,0,5608681,5334862,5662559,4931008,1
1370,1370,0,6405181,5334862,5662559,5385560,1
1371,1371,0,6405181,5993044,6466436,5385560,1
1372,1372,0,6193549,5993044,6466436,6050209,1
1373,1373,0,6193549,6291536,6253480,6050209,1
1374,1374,0,4765189,6291536,6253480,6351707,1
1375,1375,0,4765189,6077932,4811359,6351707,1
1376,1376,0,3784935,6077932,4811359,6136129,1
1377,1377,0,3784935,5868529,3821599,6136129,1
1378,1378,0,3992913,5868529,3821599,5924718,1
1379,1379,0,3992913,5961535,4030957,5924718,1
1380,1380,0,3934651,5961535,4030957,6018749,1
1381,1381,0,3934651,5928373,3972703,6018749,1
1382,1382,0,2483326,5928373,3972703,5985442,1
1383,1383,0,2483326,5351202,2507545,5985442,1
1384,1384,0,782478,5351202,2507545,5402888,1
1385,1385,0,782478,4547918,790353,5402888,1
1386,1386,0,320724,4547918,790353,4591859,1
1387,1387,0,320724,4042664,323472,4591859,1
1388,1388,0,417121,4042664,323472,4081604,1
1389,1389,0,417121,3687096,421161,4081604,1
1390,1390,0,-585954,3687096,421161,3722607,1
1391,1391,0,-585954,2935090,-591389,3722607,1
1392,1392,0,-2452723,2935090,-591389,2963499,1
1393,1393,0,-2452723,1797911,-2475230,2963499,1
1394,1394,0,-3446581,1797911,-2475230,1815409,1
1395,1395,0,-3446581,851288,-3479868,1815409,1
1396,1396,0,-3239363,851288,-3479868,859540,1
1397,1397,0,-3239363,278658,-3270607,859540,1
1398,1398,0,-3472604,278658,-3270607,281327,1
1399,1399,0,-3472604,-411771,-3506096,281327,1
1400,1400,0,-4908600,-411771,-3506096,-415531,1
1401,1401,0,-4908600,-1517802,-4955306,-415531,1
1402,1402,0,-6107166,-1517802,-4955306,-1531991,1
1403,1403,0,-6107166,-2603819,-6165566,-1531991,1
1404,1404,0,-5880547,-2603819,-6165566,-2628529,1
1405,1405,0,-5880547,-3216141,-5936954,-2628529,1
1406,1406,0,-5273864,-3216141,-5936954,-3246984,1
1407,1407,0,-5273864,-3629987,-5324571,-3246984,1
1408,1408,0,-5808079,-3629987,-5324571,-3664899,1
1409,1409,0,-5808079,-4351569,-5863153,-3664899,1
1410,1410,0,-6828872,-4351569,-5863153,-4393243,1
1411,1411,0,-6828872,-5230646,-6893368,-4393243,1
1412,1412,0,-6651800,-5230646,-6893368,-5280663,1
1413,1413,0,-6651800,-5692835,-6715940,-5280663,1
1414,1414,0,-5416844,-5692835,-6715940,-5747338,1
1415,1415,0,-5416844,-5704074,-5468485,-5747338,1
1416,1416,0,-4872946,-5704074,-5468485,-5758691,1
1417,1417,0,-4872946,-5812350,-4920008,-5758691,1
1418,1418,0,-5380049,-5812350,-4920008,-5867763,1
1419,1419,0,-5380049,-6199870,-5431525,-5867763,1
1420,1420,0,-5313873,-6199870,-5431525,-6258868,1
1421,1421,0,-5313873,-6364195,-5365302,-6258868,1
1422,1422,0,-3855168,-6364195,-5365302,-6424857,1
1423,1423,0,-3855168,-5973155,-3892775,-6424857,1
1424,1424,0,-2406366,-5973155,-3892775,-6030341,1
1425,1425,0,-2406366,-5435380,-2429698,-6030341,1
1426,1426,0,-2223532,-5435380,-2429698,-5487552,1
1427,1427,0,-2223532,-5206157,-2244087,-5487552,1
1428,1428,0,-2284431,-5206157,-2244087,-5256182,1
1429,1429,0,-2284431,-5019167,-2306800,-5256182,1
1430,1430,0,-1070353,-5019167,-2306800,-5067579,1
1431,1431,0,-1070353,-4353971,-1081709,-5067579,1
1432,1432,0,811631,-4353971,-1081709,-4396116,1
1433,1433,0,811631,-3343516,818677,-4396116,1
1434,1434,0,1635603,-3343516,818677,-3375828,1
1435,1435,0,1635603,-2566689,1650818,-3375828,1
1436,1436,0,1478183,-2566689,1650818,-2591316,1
1437,1437,0,1478183,-2082024,1492192,-2591316,1
1438,1438,0,2056578,-2082024,1492192,-2102113,1
1439,1439,0,2056578,-1353421,2075661,-2102113,1
1440,1440,0,3764872,-1353421,2075661,-1366912,1
1441,1441,0,3764872,-194411,3800016,-1366912,1
1442,1442,0,4971890,-194411,3800016,-197040,1
1443,1443,0,4971890,883550,5019031,-197040,1
1444,1444,0,4785170,883550,5019031,891411,1
1445,1445,0,4785170,1515943,4830916,891411,1
1446,1446,0,4548761,1515943,4830916,1530039,1
1447,1447,0,4548761,2078484,4592137,1530039,1
1448,1448,0,5522534,2078484,4592137,2097909,1
1449,1449,0,5522534,3015546,5574889,2097909,1
1450,1450,0,6722551,3015546,5574889,3043814,1
1451,1451,0,6722551,4052391,6786786,3043814,1
1452,1452,0,6577925,4052391,6786786,4090622,1
1453,1453,0,6577925,4637841,6640819,4090622,1
1454,1454,0,5615361,4637841,6640819,4681889,1
1455,1455,0,5615361,4860475,5669813,4681889,1
1456,1456,0,5542450,4860475,5669813,4906766,1
1457,1457,0,5542450,5275168,5595013,4906766,1
1458,1458,0,6346224,5275168,5595013,5325410,1
1459,1459,0,6346224,5936051,6406626,5325410,1
1460,1460,0,6286683,5936051,6406626,5992625,1
1461,1461,0,6286683,6289631,6347107,5992625,1
1462,1462,0,4913672,6289631,6347107,6349807,1
1463,1463,0,4913672,6108601,4961652,6349807,1
1464,1464,0,3821520,6108601,4961652,6167182,1
1465,1465,0,3821520,5873438,3858301,6167182,1
1466,1466,0,3952494,5873438,3858301,5929661,1
1467,1467,0,3952494,5946566,3990205,5929661,1
1468,1468,0,3999624,5946566,3990205,6003367,1
1469,1469,0,3999624,5953478,4037991,6003367,1
1470,1470,0,2668800,5953478,4037991,6010509,1
1471,1471,0,2668800,5427991,2695224,6010509,1
1472,1472,0,901084,5427991,2695224,5480322,1
1473,1473,0,901084,4618382,910215,5480322,1
1474,1474,0,308377,4618382,910215,4662993,1
1475,1475,0,308377,4076980,311615,4662993,1
1476,1476,0,438839,4076980,311615,4116202,1
1477,1477,0,438839,3732307,443074,4116202,1
1478,1478,0,-428403,3732307,443074,3768199,1
1479,1479,0,-428403,3031589,-431967,3768199,1
1480,1480,0,-2282878,3031589,-431967,3060992,1
1481,1481,0,-2282878,1908021,-2304135,3060992,1
1482,1482,0,-3420850,1908021,-2304135,1926807,1
1483,1483,0,-3420850,921247,-3453802,1926807,1
1484,1484,0,-3265646,921247,-3453802,930482,1
1485,1485,0,-3265646,327829,-3297259,930482,1
1486,1486,0,-3391802,327829,-3297259,331248,1
1487,1487,0,-3391802,-325767,-3424177,331248,1
1488,1488,0,-4752567,-325767,-3424177,-328548,1
1489,1489,0,-4752567,-1400785,-4797375,-328548,1
1490,1490,0,-6050976,-1400785,-4797375,-1413845,1
1491,1491,0,-6050976,-2516754,-6108847,-1413845,1
1492,1492,0,-5941900,-2516754,-6108847,-2540685,1
1493,1493,0,-5941900,-3174530,-5999493,-2540685,1
1494,1494,0,-5295495,-3174530,-5999493,-3204990,1
1495,1495,0,-5295495,-3581509,-5346418,-3204990,1
1496,1496,0,-5706920,-3581509,-5346418,-3615800,1
1497,1497,0,-5706920,-4267656,-5761557,-3615800,1
1498,1498,0,-6768426,-4267656,-5761557,-4308299,1
1499,1499,0,-6768426,-5156679,-6833165,-4308299,1
1500,1500,0,-6734919,-5156679,-6833165,-5205899,1
1501,1501,0,-6734919,-5672145,-6799599,-5205899,1
1502,1502,0,-5531588,-5672145,-6799599,-5726586,1
1503,1503,0,-5531588,-5705491,-5585020,-5726586,1
1504,1504,0,-4868525,-5705491,-5585020,-5760414,1
1505,1505,0,-4868525,-5785999,-4915494,-5760414,1
1506,1506,0,-5327019,-5785999,-4915494,-5841576,1
1507,1507,0,-5327019,-6163482,-5377992,-5841576,1
1508,1508,0,-5388906,-6163482,-5377992,-6222541,1
1509,1509,0,-5388906,-6374016,-5440314,-6222541,1
1510,1510,0,-4026735,-6374016,-5440314,-6435165,1
1511,1511,0,-4026735,-6028277,-4065860,-6435165,1
1512,1512,0,-2494771,-6028277,-4065860,-6086265,1
1513,1513,0,-2494771,-5477163,-2518940,-6086265,1
1514,1514,0,-2201200,-5477163,-2518940,-5529907,1
1515,1515,0,-2201200,-5218656,-2222291,-5529907,1
1516,1516,0,-2319732,-5218656,-2222291,-5268778,1
1517,1517,0,-2319732,-5054371,-2342537,-5268778,1
1518,1518,0,-1245845,-5054371,-2342537,-5102845,1
1519,1519,0,-1245845,-4442049,-1257827,-5102845,1
1520,1520,0,654095,-4442049,-1257827,-4484750,1
1521,1521,0,654095,-3438940,659689,-4484750,1
1522,1522,0,1619793,-3438940,659689,-3472122,1
1523,1523,0,1619793,-2623203,1634844,-3472122,1
1524,1524,0,1489233,-2623203,1634844,-2648613,1
1525,1525,0,1489233,-2130350,1503642,-2648613,1
1526,1526,0,1937866,-2130350,1503642,-2151007,1
1527,1527,0,1937866,-1446213,1956364,-2151007,1
1528,1528,0,3589380,-1446213,1956364,-1460390,1
1529,1529,0,3589380,-313916,3622904,-1460390,1
1530,1530,0,4917060,-313916,3622904,-317338,1
1531,1531,0,4917060,798362,4963694,-317338,1
1532,1532,0,4835620,798362,4963694,805646,1
1533,1533,0,4835620,1468293,4881950,805646,1
1534,1534,0,4524151,1468293,4881950,1482128,1
1535,1535,0,4524151,2010706,4567212,1482128,1
1536,1536,0,5393021,2010706,4567212,2029772,1
1537,1537,0,5393021,2910202,5443864,2029772,1
1538,1538,0,6652620,2910202,5443864,2937717,1
1539,1539,0,6652620,3964253,6715792,2937717,1
1540,1540,0,6653645,3964253,6715792,4001776,1
1541,1541,0,6653645,4603015,6717814,4001776,1
1542,1542,0,5686959,4603015,6717814,4646765,1
1543,1543,0,5686959,4838347,5741688,4646765,1
1544,1544,0,5495985,4838347,5741688,4884391,1
1545,1545,0,5495985,5220558,5547963,4884391,1
1546,1546,0,6272113,5220558,5547963,5270111,1
1547,1547,0,6272113,5878109,6331808,5270111,1
1548,1548,0,6362866,5878109,6331808,5933985,1
1549,1549,0,6362866,6281903,6424315,5933985,1
1550,1550,0,5066883,6281903,6424315,6341944,1
1551,1551,0,5066883,6138286,5115794,6341944,1
1552,1552,0,3870560,6138286,5115794,6197110,1
1553,1553,0,3870560,5882082,3908143,6197110,1
1554,1554,0,3908967,5882082,3908143,5938297,1
1555,1555,0,3908967,5931026,3946090,5938297,1
1556,1556,0,4050813,5931026,3946090,5987614,1
1557,1557,0,4050813,5971969,4089892,5987614,1
1558,1558,0,2844199,5971969,4089892,6029163,1
1559,1559,0,2844199,5500257,2871719,6029163,1
1560,1560,0,1036211,5500257,2871719,5553255,1
1561,1561,0,1036211,4691228,1046395,5553255,1
1562,1562,0,317210,4691228,1046395,4736489,1
1563,1563,0,317210,4112900,320652,4736489,1
1564,1564,0,444933,4112900,320652,4152468,1
1565,1565,0,444933,3772285,449248,4152468,1
1566,1566,0,-278752,3772285,449248,3808535,1
1567,1567,0,-278752,3122374,-281399,3808535,1
1568,1568,0,-2109617,3122374,-281399,3152457,1
1569,1569,0,-2109617,2021513,-2129334,3152457,1
1570,1570,0,-3375316,2021513,-2129334,2041168,1
1571,1571,0,-3375316,999486,-3407516,2041168,1
1572,1572,0,-3301590,999486,-3407516,1009335,1
1573,1573,0,-3301590,380290,-3333786,1009335,1
1574,1574,0,-3319020,380290,-3333786,384132,1
1575,1575,0,-3319020,-243501,-3350628,384132,1
1576,1576,0,-4591963,-243501,-3350628,-245659,1
1577,1577,0,-4591963,-1284565,-4635068,-245659,1
1578,1578,0,-5981538,-1284565,-4635068,-1296667,1
1579,1579,0,-5981538,-2424880,-6038722,-1296667,1
1580,1580,0,-6009236,-2424880,-6038722,-2447992,1
1581,1581,0,-6009236,-3130307,-6067010,-2447992,1
1582,1582,0,-5330102,-3130307,-6067010,-3160326,1
1583,1583,0,-5330102,-3534860,-5381391,-3160326,1
1584,1584,0,-5612844,-3534860,-5381391,-3568680,1
1585,1585,0,-5612844,-4184294,-5666148,-3568680,1
1586,1586,0,-6686905,-4184294,-5666148,-4224097,1
1587,1587,0,-6686905,-5079109,-6750701,-4224097,1
1588,1588,0,-6809516,-5079109,-6750701,-5127435,1
1589,1589,0,-6809516,-5650434,-6874929,-5127435,1
1590,1590,0,-5652218,-5650434,-6874929,-5704484,1
1591,1591,0,-5652218,-5712198,-5707135,-5704484,1
1592,1592,0,-4876241,-5712198,-5707135,-5766967,1
1593,1593,0,-4876241,-5763815,-4923345,-5766967,1
1594,1594,0,-5265084,-5763815,-4923345,-5818943,1
1595,1595,0,-5265084,-6123173,-5315690,-5818943,1
1596,1596,0,-5443586,-6123173,-5315690,-6181657,1
1597,1597,0,-5443586,-6376136,-5495956,-6181657,1
1598,1598,0,-4200540,-6376136,-5495956,-6437241,1
1599,1599,0,-4200540,-6081030,-4241583,-6437241,1
1600,1600,0,-2599682,-6081030,-4241583,-6139622,1
1601,1601,0,-2599682,-5522046,-2624769,-6139622,1
1602,1602,0,-2181631,-5522046,-2624769,-5575391,1
1603,1603,0,-2181631,-5229821,-2202534,-5575391,1
1604,1604,0,-2342398,-5229821,-2202534,-5280272,1
1605,1605,0,-2342398,-5082221,-2364927,-5280272,1
1606,1606,0,-1412680,-5082221,-2364927,-5131236,1
1607,1607,0,-1412680,-4525359,-1426463,-5131236,1
1608,1608,0,487665,-4525359,-1426463,-4569110,1
1609,1609,0,487665,-3537678,491376,-4569110,1
1610,1610,0,1593466,-3537678,491376,-3571934,1
1611,1611,0,1593466,-2684405,1608561,-3571934,1
1612,1612,0,1502149,-2684405,1608561,-2710331,1
1613,1613,0,1502149,-2176696,1516984,-2710331,1
1614,1614,0,1832443,-2176696,1516984,-2197651,1
1615,1615,0,1832443,-1533853,1849348,-2197651,1
1616,1616,0,3407636,-1533853,1849348,-1548821,1
1617,1617,0,3407636,-433147,3439710,-1548821,1
1618,1618,0,4858957,-433147,3439710,-437743,1
1619,1619,0,4858957,708459,4904656,-437743,1
1620,1620,0,4887781,708459,4904656,714902,1
1621,1621,0,4887781,1418493,4934897,714902,1
1622,1622,0,4507213,1418493,4934897,1431905,1
1623,1623,0,4507213,1945183,4550574,1431905,1
1624,1624,0,5260063,1945183,4550574,1963626,1
1625,1625,0,5260063,2806968,5309814,1963626,1
1626,1626,0,6567236,2806968,5309814,2833384,1
1627,1627,0,6567236,3875442,6629747,2833384,1
1628,1628,0,6719843,3875442,6629747,3912035,1
1629,1629,0,6719843,4567905,6784299,3912035,1
1630,1630,0,5773419,4567905,6784299,4611414,1
1631,1631,0,5773419,4818226,5829170,4611414,1
1632,1632,0,5457127,4818226,5829170,4864294,1
1633,1633,0,5457127,5165065,5508983,4864294,1
1634,1634,0,6197039,5165065,5508983,5214375,1
1635,1635,0,6197039,5813560,6256158,5214375,1
1636,1636,0,6421170,5813560,6256158,5868949,1
1637,1637,0,6421170,6267756,6482394,5868949,1
1638,1638,0,5220136,6267756,6482394,6327660,1
1639,1639,0,5220136,6168443,5270528,6327660,1
1640,1640,0,3931854,6168443,5270528,6227572,1
1641,1641,0,3931854,5896466,3969804,6227572,1
1642,1642,0,3869187,5896466,3969804,5952932,1
1643,1643,0,3869187,5917197,3906074,5952932,1
1644,1644,0,4085187,5917197,3906074,5973685,1
1645,1645,0,4085187,5985455,4124347,5973685,1
1646,1646,0,3019138,5985455,4124347,6042609,1
1647,1647,0,3019138,5568461,3048675,6042609,1
1648,1648,0,1184794,5568461,3048675,5621843,1
1649,1649,0,1184794,4765815,1196569,5621843,1
1650,1650,0,321410,4765815,1196569,4811615,1
1651,1651,0,321410,4151356,324743,4811615,1
1652,1652,0,443302,4151356,324743,4191228,1
1653,1653,0,443302,3809875,447312,4191228,1
1654,1654,0,-144702,3809875,447312,3846471,1
1655,1655,0,-144702,3210271,-145326,3846471,1
1656,1656,0,-1927810,3210271,-145326,3241279,1
1657,1657,0,-1927810,2135759,-1945627,3241279,1
1658,1658,0,-3317383,2135759,-1945627,2156612,1
1659,1659,0,-3317383,1079300,-3348824,2156612,1
1660,1660,0,-3341788,1079300,-3348824,1089929,1
1661,1661,0,-3341788,428275,-3373692,1089929,1
1662,1662,0,-3268068,428275,-3373692,432581,1
1663,1663,0,-3268068,-168356,-3299598,432581,1
1664,1664,0,-4425216,-168356,-3299598,-169642,1
1665,1665,0,-4425216,-1169917,-4467335,-169642,1
1666,1666,0,-5899988,-1169917,-4467335,-1180636,1
1667,1667,0,-5899988,-2329337,-5956451,-1180636,1
1668,1668,0,-6064942,-2329337,-5956451,-2351176,1
1669,1669,0,-6064942,-3085585,-6123217,-2351176,1
1670,1670,0,-5370915,-3085585,-6123217,-3114923,1
1671,1671,0,-5370915,-3493811,-5422355,-3114923,1
1672,1672,0,-5527789,-3493811,-5422355,-3527217,1
1673,1673,0,-5527789,-4104851,-5580168,-3527217,1
1674,1674,0,-6597107,-4104851,-5580168,-4144129,1
1675,1675,0,-6597107,-4997156,-6659830,-4144129,1
1676,1676,0,-6872418,-4997156,-6659830,-5044984,1
1677,1677,0,-6872418,-5620823,-6938469,-5044984,1
1678,1678,0,-5777767,-5620823,-6938469,-5674660,1
1679,1679,0,-5777767,-5716582,-5833403,-5674660,1
1680,1680,0,-4890693,-5716582,-5833403,-5771294,1
1681,1681,0,-4890693,-5743387,-4937706,-5771294,1
1682,1682,0,-5205551,-5743387,-4937706,-5798161,1
1683,1683,0,-5205551,-6082198,-5255299,-5798161,1
1684,1684,0,-5489693,-6082198,-5255299,-6140147,1
1685,1685,0,-5489693,-6373925,-5542485,-6140147,1
1686,1686,0,-4364817,-6373925,-5542485,-6434851,1
1687,1687,0,-4364817,-6131268,-4407320,-6434851,1
1688,1688,0,-2714318,-6131268,-4407320,-6190118,1
1689,1689,0,-2714318,-5569263,-2740748,-6190118,1
1690,1690,0,-2171289,-5569263,-2740748,-5622781,1
1691,1691,0,-2171289,-5243420,-2191997,-5622781,1
1692,1692,0,-2353027,-5243420,-2191997,-5293746,1
1693,1693,0,-2353027,-5107550,-2375894,-5293746,1
1694,1694,0,-1566979,-5107550,-2375894,-5156648,1
1695,1695,0,-1566979,-4604658,-1582438,-5156648,1
1696,1696,0,310524,-4604658,-1582438,-4649118,1
1697,1697,0,310524,-3636590,312628,-4649118,1
1698,1698,0,1548022,-3636590,312628,-3671818,1
1699,1699,0,1548022,-2748326,1563129,-3671818,1
1700,1700,0,1526792,-2748326,1563129,-2774935,1
1701,1701,0,1526792,-2221636,1541367,-2774935,1
1702,1702,0,1743720,-2221636,1541367,-2243142,1
1703,1703,0,1743720,-1616629,1759661,-2243142,1
1704,1704,0,3227679,-1616629,1759661,-1632503,1
1705,1705,0,3227679,-552950,3258425,-1632503,1
1706,1706,0,4775734,-552950,3258425,-558694,1
1707,1707,0,4775734,612662,4820875,-558694,1
1708,1708,0,4929584,612662,4820875,618251,1
1709,1709,0,4929584,1367228,4977017,618251,1
1710,1710,0,4509015,1367228,4977017,1380129,1
1711,1711,0,4509015,1886243,4552034,1380129,1
1712,1712,0,5136295,1886243,4552034,1904058,1
1713,1713,0,5136295,2707662,5185229,1904058,1
1714,1714,0,6471323,2707662,5185229,2733178,1
1715,1715,0,6471323,3779913,6533123,2733178,1
1716,1716,0,6775321,3779913,6533123,3815770,1
1717,1717,0,6775321,4524394,6840723,3815770,1
1718,1718,0,5864935,4524394,6840723,4567545,1
1719,1719,0,5864935,4798243,5921080,4567545,1
1720,1720,0,5421030,4798243,5921080,4844073,1
1721,1721,0,5421030,5115397,5473235,4844073,1
1722,1722,0,6120147,5115397,5473235,5164255,1
1723,1723,0,6120147,5749902,6178244,5164255,1
1724,1724,0,6466930,5749902,6178244,5804883,1
1725,1725,0,6466930,6248903,6529313,5804883,1
1726,1726,0,5371446,6248903,6529313,6308815,1
1727,1727,0,5371446,6195416,5423261,6308815,1
1728,1728,0,4013085,6195416,5423261,6254932,1
1729,1729,0,4013085,5911363,4051797,6254932,1
1730,1730,0,3832610,5911363,4051797,5968065,1
1731,1731,0,3832610,5902434,3869103,5968065,1
1732,1732,0,4107883,5902434,3869103,5958956,1
1733,1733,0,4107883,5994292,4147209,5958956,1
1734,1734,0,3176841,5994292,4147209,6051787,1
1735,1735,0,3176841,5634858,3208314,6051787,1
1736,1736,0,1338066,5634858,3208314,5689057,1
1737,1737,0,1338066,4844841,1351531,5689057,1
1738,1738,0,342573,4844841,1351531,4891497,1
1739,1739,0,342573,4195252,346027,4891497,1
1740,1740,0,436729,4195252,346027,4235512,1
1741,1741,0,436729,3845090,440872,4235512,1
1742,1742,0,-18304,3845090,440872,3882060,1
1743,1743,0,-18304,3289848,-18084,3882060,1
1744,1744,0,-1744588,3289848,-18084,3321772,1
1745,1745,0,-1744588,2246706,-1760909,3321772,1
1746,1746,0,-3242939,2246706,-1760909,2268815,1
1747,1747,0,-3242939,1162631,-3274032,2268815,1
1748,1748,0,-3373036,1162631,-3274032,1174209,1
1749,1749,0,-3373036,479771,-3405502,1174209,1
1750,1750,0,-3235715,479771,-3405502,484585,1
1751,1751,0,-3235715,-94343,-3266575,484585,1
1752,1752,0,-4269667,-94343,-3266575,-95034,1
1753,1753,0,-4269667,-1055418,-4310258,-95034,1
1754,1754,0,-5795966,-1055418,-4310258,-1065277,1
1755,1755,0,-5795966,-2227603,-5850577,-1065277,1
1756,1756,0,-6111713,-2227603,-5850577,-2248781,1
1757,1757,0,-6111713,-3035243,-6170310,-2248781,1
1758,1758,0,-5420799,-3035243,-6170310,-3064291,1
1759,1759,0,-5420799,-3455092,-5473034,-3064291,1
1760,1760,0,-5453650,-3455092,-5473034,-3488149,1
1761,1761,0,-5453650,-4030097,-5506031,-3488149,1
