Sample in Buffer,Sample in Window,TRIGGER,input_L[23:0],output_L[23:0],r_data_rx[23:0],r_data_filt[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
880,880,0,-6467075,-4882614,-6528870,-4039664,1
881,881,0,-6921960,-4882614,-6528870,-4929145,1
882,882,0,-6921960,-5571609,-6987970,-4929145,1
883,883,0,-5951723,-5571609,-6987970,-5624885,1
884,884,0,-5951723,-5720750,-6009761,-5624885,1
885,885,0,-4934912,-5720750,-6009761,-5775665,1
886,886,0,-4934912,-5722610,-4982887,-5775665,1
887,887,0,-5124942,-5722610,-4982887,-5777582,1
888,888,0,-5124942,-6026291,-5173670,-5777582,1
889,889,0,-5517418,-6026291,-5173670,-6083990,1
890,890,0,-5517418,-6359955,-5570571,-6083990,1
891,891,0,-4581649,-6359955,-5570571,-6420912,1
892,892,0,-4581649,-6191440,-4626561,-6420912,1
893,893,0,-2887646,-6191440,-4626561,-6251083,1
894,894,0,-2887646,-5636790,-2916099,-6251083,1
895,895,0,-2164263,-5636790,-2916099,-5691252,1
896,896,0,-2164263,-5264923,-2185359,-5691252,1
897,897,0,-2354371,-5264923,-2185359,-5315691,1
898,898,0,-2354371,-5133456,-2376840,-5315691,1
899,899,0,-1753254,-5133456,-2376840,-5182896,1
900,900,0,-1753254,-4701618,-1770832,-5182896,1
901,901,0,65496,-4701618,-1770832,-4747168,1
902,902,0,65496,-3770063,65320,-4747168,1
903,903,0,1473851,-3770063,65320,-3806893,1
904,904,0,1473851,-2840127,1487385,-3806893,1
905,905,0,1556816,-2840127,1487385,-2867875,1
906,906,0,1556816,-2279705,1571939,-2867875,1
907,907,0,1642686,-2279705,1571939,-2301899,1
908,908,0,1642686,-1718840,1658099,-2301899,1
909,909,0,2995841,-1718840,1658099,-1735733,1
910,910,0,2995841,-709274,3023583,-1735733,1
911,911,0,4635706,-709274,3023583,-716681,1
912,912,0,4635706,480234,4679753,-716681,1
913,913,0,4987002,480234,4679753,484276,1
914,914,0,4987002,1294811,5034840,484276,1
915,915,0,4528011,1294811,5034840,1306902,1
916,916,0,4528011,1811552,4571409,1306902,1
917,917,0,4979626,1811552,4571409,1828611,1
918,918,0,4979626,2578389,5026907,1828611,1
919,919,0,6318933,2578389,5026907,2602637,1
920,920,0,6318933,3648715,6378902,2602637,1
921,921,0,6825805,3648715,6378902,3683186,1
922,922,0,6825805,4461373,6890934,3683186,1
923,923,0,5997446,4461373,6890934,4503857,1
924,924,0,5997446,4774234,6055193,4503857,1
925,925,0,5406286,4774234,6055193,4819867,1
926,926,0,5406286,5053681,5457931,4819867,1
927,927,0,6008874,5053681,5457931,5101876,1
928,928,0,6008874,5658493,6066306,5101876,1
929,929,0,6505269,5658493,6066306,5712331,1
930,930,0,6505269,6210914,6567562,5712331,1
931,931,0,5572198,6210914,6567562,6270117,1
932,932,0,5572198,6228530,5626028,6270117,1
933,933,0,4131789,6228530,5626028,6288090,1
934,934,0,4131789,5940473,4171705,6288090,1
935,935,0,3793616,5940473,4171705,5997365,1
936,936,0,3793616,5888927,3829740,5997365,1
937,937,0,4114756,5888927,3829740,5945294,1
938,938,0,4114756,6001003,4153987,5945294,1
939,939,0,3387144,6001003,4153987,6058489,1
940,940,0,3387144,5715775,3419983,6058489,1
941,941,0,1567780,5715775,3419983,5770706,1
942,942,0,1567780,4951191,1583546,5770706,1
943,943,0,386835,4951191,1583546,4998843,1
944,944,0,386835,4256437,390605,4998843,1
945,945,0,415256,4256437,390605,4297295,1
946,946,0,415256,3889247,418956,4297295,1
947,947,0,124515,3889247,418956,3926491,1
948,948,0,124515,3394025,125833,3926491,1
949,949,0,-1487020,3394025,125833,3426695,1
950,950,0,-1487020,2401869,-1500980,3426695,1
951,951,0,-3126685,2401869,-1500980,2425237,1
952,952,0,-3126685,1285422,-3156278,2425237,1
953,953,0,-3413738,1285422,-3156278,1298025,1
954,954,0,-3413738,549485,-3445979,1298025,1
955,955,0,-3197357,549485,-3445979,554823,1
956,956,0,-3197357,-3574,-3228159,554823,1
957,957,0,-4064166,-3574,-3228159,-3601,1
958,958,0,-4064166,-906183,-4102731,-3601,1
959,959,0,-5639324,-906183,-4102731,-914714,1
960,960,0,-5639324,-2085998,-5692875,-914714,1
961,961,0,-6161690,-2085998,-5692875,-2105669,1
962,962,0,-6161690,-2960720,-6220779,-2105669,1
963,963,0,-5500379,-2960720,-6220779,-2988790,1
964,964,0,-5500379,-3402221,-5553206,-2988790,1
965,965,0,-5373802,-3402221,-5553206,-3434596,1
966,966,0,-5373802,-3929498,-5425288,-3434596,1
967,967,0,-6365763,-3929498,-5425288,-3966920,1
968,968,0,-6365763,-4794310,-6426263,-3966920,1
969,969,0,-6943069,-4794310,-6426263,-4839997,1
970,970,0,-6943069,-5527581,-7010142,-4839997,1
971,971,0,-6082136,-5527581,-7010142,-5580358,1
972,972,0,-6082136,-5722825,-6141023,-5580358,1
973,973,0,-4985346,-5722825,-6141023,-5777636,1
974,974,0,-4985346,-5712771,-5033759,-5777636,1
975,975,0,-5065029,-5712771,-5033759,-5767475,1
976,976,0,-5065029,-5987154,-5113340,-5767475,1
977,977,0,-5524994,-5987154,-5113340,-6044467,1
978,978,0,-5524994,-6345450,-5578574,-6044467,1
979,979,0,-4731997,-6345450,-5578574,-6406368,1
980,980,0,-4731997,-6233451,-4778367,-6406368,1
981,981,0,-3031911,-6233451,-4778367,-6293588,1
982,982,0,-3031911,-5690587,-3061716,-6293588,1
983,983,0,-2173826,-5690587,-3061716,-5745585,1
984,984,0,-2173826,-5284774,-2194408,-5745585,1
985,985,0,-2345019,-5284774,-2194408,-5335761,1
986,986,0,-2345019,-5149494,-2367871,-5335761,1
987,987,0,-1874602,-5149494,-2367871,-5199255,1
988,988,0,-1874602,-4768312,-1893520,-5199255,1
989,989,0,-124625,-4768312,-1893520,-4814646,1
990,990,0,-124625,-3871101,-127017,-4814646,1
991,991,0,1401271,-3871101,-127017,-3908853,1
992,992,0,1401271,-2914901,1414410,-3908853,1
993,993,0,1583205,-2914901,1414410,-2943235,1
994,994,0,1583205,-2324066,1598570,-2943235,1
995,995,0,1581975,-2324066,1598570,-2346665,1
996,996,0,1581975,-1789460,1596807,-2346665,1
997,997,0,2815457,-1789460,1596807,-1807210,1
998,998,0,2815457,-823615,2841504,-1807210,1
999,999,0,4522011,-823615,2841504,-832336,1
1000,1000,0,4522011,376854,4564582,-832336,1
1001,1001,0,5014585,376854,4564582,379843,1
1002,1002,0,5014585,1237592,5062077,379843,1
1003,1003,0,4556900,1237592,5062077,1249166,1
1004,1004,0,4556900,1757933,4600502,1249166,1
1005,1005,0,4876690,1757933,4600502,1774530,1
1006,1006,0,4876690,2483485,4922937,1774530,1
1007,1007,0,6200555,2483485,4922937,2506769,1
1008,1008,0,6200555,3545189,6259599,2506769,1
1009,1009,0,6851077,3545189,6259599,3578448,1
1010,1010,0,6851077,4407415,6916863,3578448,1
1011,1011,0,6097188,4407415,6916863,4449042,1
1012,1012,0,6097188,4756931,6155755,4449042,1
1013,1013,0,5405442,4756931,6155755,4802098,1
1014,1014,0,5405442,5013864,5457243,4802098,1
1015,1015,0,5922016,5013864,5457243,5061572,1
1016,1016,0,5922016,5593771,5978471,5061572,1
1017,1017,0,6512848,5593771,5978471,5647100,1
1018,1018,0,6512848,6179354,6575094,5647100,1
1019,1019,0,5714357,6179354,6575094,6238431,1
1020,1020,0,5714357,6250311,5769113,6238431,1
1021,1021,0,4241476,6250311,5769113,6310236,1
1022,1022,0,4241476,5963162,4282733,6310236,1
1023,1023,0,3773208,5963162,4282733,6020326,1
1024,1024,1,3773208,5963162,4282733,6020326,0
1025,1025,0,3773208,5877596,3809709,6020326,1
1026,1026,0,4103693,5877596,3809709,5933818,1
1027,1027,0,4103693,5998147,4143356,5933818,1
1028,1028,0,3525851,5998147,4143356,6055472,1
1029,1029,0,3525851,5769482,3560129,6055472,1
1030,1030,0,1747324,5769482,3560129,5824766,1
1031,1031,0,1747324,5032980,1765038,5824766,1
1032,1032,0,435423,5032980,1765038,5081442,1
1033,1033,0,435423,4308049,439555,5081442,1
1034,1034,0,396907,4308049,439555,4349706,1
1035,1035,0,396907,3920179,400525,4349706,1
1036,1036,0,205855,3920179,400525,3958156,1
1037,1037,0,205855,3463098,208586,3958156,1
1038,1038,0,-1293891,3463098,208586,3496779,1
1039,1039,0,-1293891,2514184,-1305646,3496779,1
1040,1040,0,-3016488,2514184,-1305646,2538813,1
1041,1041,0,-3016488,1381516,-3044811,2538813,1
1042,1042,0,-3438054,1381516,-3044811,1395116,1
1043,1043,0,-3438054,603064,-3470935,1395116,1
1044,1044,0,-3183746,603064,-3470935,609056,1
1045,1045,0,-3183746,57723,-3214260,609056,1
1046,1046,0,-3931263,57723,-3214260,58568,1
1047,1047,0,-3931263,-799401,-3968223,58568,1
1048,1048,0,-5512297,-799401,-3968223,-806527,1
1049,1049,0,-5512297,-1975406,-5564022,-806527,1
1050,1050,0,-6176840,-1975406,-5564022,-1993789,1
1051,1051,0,-6176840,-2897626,-6236285,-1993789,1
1052,1052,0,-5572979,-2897626,-6236285,-2925071,1
1053,1053,0,-5572979,-3365252,-5626398,-2925071,1
1054,1054,0,-5328000,-3365252,-5626398,-3397265,1
1055,1055,0,-5328000,-3863545,-5378929,-3397265,1
1056,1056,0,-6250239,-3863545,-5378929,-3900138,1
1057,1057,0,-6250239,-4707945,-6310388,-3900138,1
1058,1058,0,-6953915,-4707945,-6310388,-4752500,1
1059,1059,0,-6953915,-5480242,-7020498,-4752500,1
1060,1060,0,-6209380,-5480242,-7020498,-5532360,1
1061,1061,0,-6209380,-5723249,-6269251,-5532360,1
1062,1062,0,-5043306,-5723249,-6269251,-5777978,1
1063,1063,0,-5043306,-5704964,-5092158,-5777978,1
1064,1064,0,-5013605,-5704964,-5092158,-5759680,1
