Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
3464,3464,0,-1483995,-1956253,-1495771,-2220194,1
3465,3465,0,-2069080,-1956253,-1495771,-1971895,1
3466,3466,0,-2069080,-1881308,-2085948,-1971895,1
3467,3467,0,-2073017,-1881308,-2085948,-1896420,1
3468,3468,0,-2073017,-1812654,-2090084,-1896420,1
3469,3469,0,-1691967,-1812654,-2090084,-1827242,1
3470,3470,0,-1691967,-1871488,-1704916,-1827242,1
3471,3471,0,-1678702,-1871488,-1704916,-1886639,1
3472,3472,0,-1678702,-1829515,-1692111,-1886639,1
3473,3473,0,-1739031,-1829515,-1692111,-1844180,1
3474,3474,0,-1739031,-1878192,-1752292,-1844180,1
3475,3475,0,-2133998,-1878192,-1752292,-1893265,1
3476,3476,0,-2133998,-1795680,-2151307,-1893265,1
3477,3477,0,-1624266,-1795680,-2151307,-1809851,1
3478,3478,0,-1624266,-1810925,-1636754,-1809851,1
3479,3479,0,-2265511,-1810925,-1636754,-1825157,1
3480,3480,0,-2265511,-1794000,-2283919,-1825157,1
3481,3481,0,-1608518,-1794000,-2283919,-1808116,1
3482,3482,0,-1608518,-1940702,-1621651,-1808116,1
3483,3483,0,-1556081,-1940702,-1621651,-1956068,1
3484,3484,0,-1556081,-1908074,-1567919,-1956068,1
3485,3485,0,-1313586,-1908074,-1567919,-1923408,1
3486,3486,0,-1313586,-1763594,-1323542,-1923408,1
3487,3487,0,-1790642,-1763594,-1323542,-1777561,1
3488,3488,0,-1790642,-1685924,-1804582,-1777561,1
3489,3489,0,-2207100,-1685924,-1804582,-1699258,1
3490,3490,0,-2207100,-1567207,-2225572,-1699258,1
3491,3491,0,-2253365,-1567207,-2225572,-1579424,1
3492,3492,0,-2253365,-1716853,-2272097,-1579424,1
3493,3493,0,-2146359,-1716853,-2272097,-1730404,1
3494,3494,0,-2146359,-1891174,-2164516,-1730404,1
3495,3495,0,-1782415,-1891174,-2164516,-1906449,1
3496,3496,0,-1782415,-2099367,-1796422,-1906449,1
3497,3497,0,-2269232,-2099367,-1796422,-2116692,1
3498,3498,0,-2269232,-2097310,-2287693,-2116692,1
3499,3499,0,-1482158,-2097310,-2287693,-2114652,1
3500,3500,0,-1482158,-2112843,-1493657,-2114652,1
3501,3501,0,-1741486,-2112843,-1493657,-2130182,1
3502,3502,0,-1741486,-1920041,-1755332,-2130182,1
3503,3503,0,-1578839,-1920041,-1755332,-1935572,1
3504,3504,0,-1578839,-1818823,-1591342,-1935572,1
3505,3505,0,-1442174,-1818823,-1591342,-1833276,1
3506,3506,0,-1442174,-1767929,-1452943,-1833276,1
3507,3507,0,-2282189,-1767929,-1452943,-1782006,1
3508,3508,0,-2282189,-1561165,-2301010,-1782006,1
3509,3509,0,-1835456,-1561165,-2301010,-1573319,1
3510,3510,0,-1835456,-1761172,-1850703,-1573319,1
