Sample in Buffer,Sample in Window,TRIGGER,l_data_rx[23:0],r_data_rx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX
185,185,0,-430834,-434764,1
186,186,0,-1308892,-434764,1
187,187,0,-1308892,-1320986,1
188,188,0,-2156934,-1320986,1
189,189,0,-2156934,-2176903,1
190,190,0,-2963982,-2176903,1
191,191,0,-2963982,-2991740,1
192,192,0,-3709591,-2991740,1
193,193,0,-3709591,-3744485,1
194,194,0,-4377063,-3744485,1
195,195,0,-4377063,-4418722,1
196,196,0,-4960171,-4418722,1
197,197,0,-4960171,-5006710,1
198,198,0,-5439010,-5006710,1
199,199,0,-5439010,-5490528,1
200,200,0,-5814067,-5490528,1
201,201,0,-5814067,-5869025,1
202,202,0,-6061092,-5869025,1
203,203,0,-6061092,-6118490,1
204,204,0,-6195814,-6118490,1
205,205,0,-6195814,-6254326,1
206,206,0,-6198709,-6254326,1
207,207,0,-6198709,-6257667,1
208,208,0,-6078953,-6257667,1
209,209,0,-6078953,-6136701,1
210,210,0,-5834306,-6136701,1
211,211,0,-5834306,-5889800,1
212,212,0,-5472520,-5889800,1
213,213,0,-5472520,-5524773,1
214,214,0,-4995949,-5524773,1
215,215,0,-4995949,-5043538,1
216,216,0,-4425979,-5043538,1
217,217,0,-4425979,-4468445,1
218,218,0,-3758326,-4468445,1
219,219,0,-3758326,-3794170,1
220,220,0,-3023745,-3794170,1
221,221,0,-3023745,-3052728,1
222,222,0,-2212341,-3052728,1
223,223,0,-2212341,-2234336,1
224,224,0,-1372857,-2234336,1
225,225,0,-1372857,-1386076,1
226,226,0,-496303,-1386076,1
227,227,0,-496303,-501280,1
228,228,0,394829,-501280,1
229,229,0,394829,397807,1
230,230,0,1262318,397807,1
231,231,0,1262318,1274180,1
232,232,0,2107992,1274180,1
233,233,0,2107992,2127792,1
234,234,0,2930285,2127792,1
235,235,0,2930285,2957186,1
236,236,0,3673779,2957186,1
237,237,0,3673779,3707772,1
238,238,0,4348353,3707772,1
239,239,0,4348353,4388666,1
240,240,0,4928960,4388666,1
241,241,0,4928960,4975729,1
242,242,0,5418936,4975729,1
243,243,0,5418936,5469814,1
244,244,0,5793870,5469814,1
245,245,0,5793870,5848658,1
246,246,0,6051522,5848658,1
247,247,0,6051522,6108494,1
248,248,0,6187934,6108494,1
249,249,0,6187934,6246550,1
250,250,0,6204486,6246550,1
251,251,0,6204486,6263025,1
252,252,0,6080928,6263025,1
253,253,0,6080928,6138229,1
254,254,0,5845677,6138229,1
255,255,0,5845677,5900802,1
256,256,0,5486322,5900802,1
257,257,0,5486322,5538936,1
258,258,0,5026519,5538936,1
259,259,0,5026519,5073826,1
260,260,0,4451384,5073826,1
261,261,0,4451384,4493961,1
262,262,0,3793656,4493961,1
263,263,0,3793656,3829826,1
264,264,0,3054814,3829826,1
265,265,0,3054814,3083998,1
266,266,0,2255389,3083998,1
267,267,0,2255389,2277172,1
268,268,0,1409154,2277172,1
269,269,0,1409154,1422669,1
270,270,0,537342,1422669,1
271,271,0,537342,542920,1
272,272,0,-348547,542920,1
273,273,0,-348547,-351875,1
274,274,0,-1222714,-351875,1
275,275,0,-1222714,-1234508,1
276,276,0,-2073837,-1234508,1
277,277,0,-2073837,-2092595,1
278,278,0,-2889240,-2092595,1
279,279,0,-2889240,-2916270,1
280,280,0,-3635077,-2916270,1
281,281,0,-3635077,-3669466,1
282,282,0,-4315915,-3669466,1
283,283,0,-4315915,-4356662,1
284,284,0,-4908227,-4356662,1
285,285,0,-4908227,-4954599,1
286,286,0,-5398666,-4954599,1
287,287,0,-5398666,-5449719,1
288,288,0,-5782421,-5449719,1
289,289,0,-5782421,-5836822,1
290,290,0,-6046861,-5836822,1
291,291,0,-6046861,-6104014,1
292,292,0,-6186272,-6104014,1
293,293,0,-6186272,-6245061,1
294,294,0,-6205219,-6245061,1
295,295,0,-6205219,-6263832,1
296,296,0,-6091344,-6263832,1
297,297,0,-6091344,-6149137,1
298,298,0,-5866156,-6149137,1
299,299,0,-5866156,-5921785,1
300,300,0,-5513257,-5921785,1
301,301,0,-5513257,-5565223,1
302,302,0,-5046396,-5565223,1
303,303,0,-5046396,-5094163,1
304,304,0,-4481396,-5094163,1
305,305,0,-4481396,-4524446,1
306,306,0,-3829066,-4524446,1
307,307,0,-3829066,-3865458,1
308,308,0,-3096613,-3865458,1
309,309,0,-3096613,-3126390,1
310,310,0,-2296046,-3126390,1
311,311,0,-2296046,-2318282,1
