Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
71,71,0,-2073242,-2357627,-2091388,-2339017,1
72,72,0,-2064959,-2357627,-2091388,-2377979,1
73,73,0,-2064959,-2352919,-2081887,-2377979,1
74,74,0,-2586694,-2352919,-2081887,-2373329,1
75,75,0,-2586694,-2290753,-2609737,-2373329,1
76,76,0,-2177915,-2290753,-2609737,-2310500,1
77,77,0,-2177915,-2308119,-2196841,-2310500,1
78,78,0,-2651193,-2308119,-2196841,-2328097,1
79,79,0,-2651193,-2282487,-2673700,-2328097,1
80,80,0,-2097558,-2282487,-2673700,-2302218,1
81,81,0,-2097558,-2299748,-2116165,-2302218,1
82,82,0,-2021455,-2299748,-2116165,-2319542,1
83,83,0,-2021455,-2223392,-2038886,-2319542,1
84,84,0,-2058572,-2223392,-2038886,-2242535,1
85,85,0,-2058572,-2202571,-2076400,-2242535,1
86,86,0,-1789160,-2202571,-2076400,-2221512,1
87,87,0,-1789160,-2234091,-1804299,-2221512,1
88,88,0,-2274715,-2234091,-1804299,-2253397,1
89,89,0,-2274715,-2214243,-2294875,-2253397,1
90,90,0,-2414496,-2214243,-2294875,-2233408,1
91,91,0,-2414496,-2176354,-2435914,-2233408,1
92,92,0,-2279469,-2176354,-2435914,-2195198,1
93,93,0,-2279469,-2210430,-2299219,-2195198,1
94,94,0,-2595145,-2210430,-2299219,-2229600,1
95,95,0,-2595145,-2231849,-2617919,-2229600,1
96,96,0,-2625932,-2231849,-2617919,-2251301,1
97,97,0,-2625932,-2232693,-2649045,-2251301,1
98,98,0,-2634288,-2232693,-2649045,-2252118,1
99,99,0,-2634288,-2277429,-2657436,-2252118,1
100,100,0,-2405526,-2277429,-2657436,-2297273,1
101,101,0,-2405526,-2275741,-2426450,-2297273,1
102,102,0,-2399194,-2275741,-2426450,-2295649,1
103,103,0,-2399194,-2306493,-2420221,-2295649,1
104,104,0,-2088822,-2306493,-2420221,-2326632,1
105,105,0,-2088822,-2344211,-2107263,-2326632,1
106,106,0,-2060460,-2344211,-2107263,-2364709,1
107,107,0,-2060460,-2347232,-2078409,-2364709,1
108,108,0,-1877146,-2347232,-2078409,-2367791,1
109,109,0,-1877146,-2374322,-1893264,-2367791,1
110,110,0,-1430554,-2374322,-1893264,-2395162,1
111,111,0,-1430554,-2334623,-1442238,-2395162,1
112,112,0,-2263643,-2334623,-1442238,-2355060,1
113,113,0,-2263643,-2236373,-2282824,-2355060,1
114,114,0,-2700615,-2236373,-2282824,-2255838,1
115,115,0,-2700615,-2234793,-2724325,-2255838,1
116,116,0,-2370054,-2234793,-2724325,-2254201,1
117,117,0,-2370054,-2245325,-2391042,-2254201,1
118,118,0,-2343743,-2245325,-2391042,-2264826,1
119,119,0,-2343743,-2219774,-2364080,-2264826,1
120,120,0,-2258903,-2219774,-2364080,-2239063,1
121,121,0,-2258903,-2190762,-2278710,-2239063,1
122,122,0,-1341961,-2190762,-2278710,-2209770,1
123,123,0,-1341961,-2176122,-1353311,-2209770,1
124,124,0,-2059199,-2176122,-1353311,-2195018,1
125,125,0,-2059199,-2070553,-2076727,-2195018,1
126,126,0,-2489930,-2070553,-2076727,-2088483,1
127,127,0,-2489930,-2067595,-2512341,-2088483,1
128,128,0,-2215713,-2067595,-2512341,-2085434,1
129,129,0,-2215713,-2110479,-2235179,-2085434,1
130,130,0,-2073018,-2110479,-2235179,-2128764,1
131,131,0,-2073018,-2144286,-2091020,-2128764,1
132,132,0,-1958202,-2144286,-2091020,-2162905,1
133,133,0,-1958202,-2208439,-1974844,-2162905,1
134,134,0,-2549109,-2208439,-1974844,-2227688,1
135,135,0,-2549109,-2177939,-2571479,-2227688,1
136,136,0,-2283668,-2177939,-2571479,-2196936,1
137,137,0,-2283668,-2162811,-2304228,-2196936,1
138,138,0,-2001398,-2162811,-2304228,-2181673,1
139,139,0,-2001398,-2154185,-2018766,-2181673,1
140,140,0,-1848956,-2154185,-2018766,-2173005,1
141,141,0,-1848956,-2120001,-1864606,-2173005,1
142,142,0,-1710710,-2120001,-1864606,-2138524,1
143,143,0,-1710710,-2079066,-1725337,-2138524,1
144,144,0,-2318676,-2079066,-1725337,-2097174,1
145,145,0,-2318676,-2115887,-2338600,-2097174,1
146,146,0,-2562543,-2115887,-2338600,-2134322,1
147,147,0,-2562543,-2141797,-2584962,-2134322,1
148,148,0,-2375925,-2141797,-2584962,-2160471,1
149,149,0,-2375925,-2149047,-2396777,-2160471,1
150,150,0,-1868445,-2149047,-2396777,-2167723,1
151,151,0,-1868445,-2165045,-1884417,-2167723,1
152,152,0,-1825840,-2165045,-1884417,-2183859,1
153,153,0,-1825840,-2144618,-1841219,-2183859,1
154,154,0,-2715976,-2144618,-1841219,-2163229,1
155,155,0,-2715976,-2131401,-2739584,-2163229,1
156,156,0,-2155547,-2131401,-2739584,-2149886,1
157,157,0,-2155547,-2148063,-2174691,-2149886,1
158,158,0,-1591053,-2148063,-2174691,-2166672,1
159,159,0,-1591053,-2135270,-1604162,-2166672,1
160,160,0,-2401714,-2135270,-1604162,-2153737,1
161,161,0,-2401714,-2094295,-2422312,-2153737,1
162,162,0,-2340003,-2094295,-2422312,-2112337,1
163,163,0,-2340003,-2149490,-2360648,-2112337,1
164,164,0,-2127879,-2149490,-2360648,-2168026,1
165,165,0,-2127879,-2212327,-2146360,-2168026,1
166,166,0,-2146316,-2212327,-2146360,-2231464,1
167,167,0,-2146316,-2193275,-2164858,-2231464,1
168,168,0,-2297942,-2193275,-2164858,-2212268,1
169,169,0,-2297942,-2151714,-2318214,-2212268,1
170,170,0,-2099204,-2151714,-2318214,-2170319,1
171,171,0,-2099204,-2143927,-2117060,-2170319,1
172,172,0,-2365777,-2143927,-2117060,-2162475,1
173,173,0,-2365777,-2166969,-2386751,-2162475,1
174,174,0,-2174485,-2166969,-2386751,-2185705,1
175,175,0,-2174485,-2220884,-2193369,-2185705,1
176,176,0,-2238572,-2220884,-2193369,-2240178,1
177,177,0,-2238572,-2166814,-2257933,-2240178,1
178,178,0,-2133120,-2166814,-2257933,-2185637,1
179,179,0,-2133120,-2175104,-2151601,-2185637,1
180,180,0,-2241721,-2175104,-2151601,-2193949,1
181,181,0,-2241721,-2229231,-2261217,-2193949,1
182,182,0,-3214996,-2229231,-2261217,-2248612,1
183,183,0,-3214996,-2213256,-3243479,-2248612,1
184,184,0,-2161643,-2213256,-3243479,-2232527,1
185,185,0,-2161643,-2300627,-2181039,-2232527,1
186,186,0,-1435721,-2300627,-2181039,-2320680,1
187,187,0,-1435721,-2303998,-1447685,-2320680,1
188,188,0,-1600593,-2303998,-1447685,-2324143,1
189,189,0,-1600593,-2233043,-1614052,-2324143,1
190,190,0,-2462545,-2233043,-1614052,-2252531,1
191,191,0,-2462545,-2163410,-2484263,-2252531,1
192,192,0,-2756539,-2163410,-2484263,-2182218,1
193,193,0,-2756539,-2199691,-2780811,-2182218,1
194,194,0,-2175428,-2199691,-2780811,-2218884,1
195,195,0,-2175428,-2238710,-2194235,-2218884,1
196,196,0,-1903303,-2238710,-2194235,-2258233,1
197,197,0,-1903303,-2238804,-1919725,-2258233,1
198,198,0,-1777048,-2238804,-1919725,-2258319,1
199,199,0,-1777048,-2205326,-1792298,-2258319,1
200,200,0,-1858576,-2205326,-1792298,-2224548,1
201,201,0,-1858576,-2169771,-1874829,-2224548,1
202,202,0,-2298081,-2169771,-1874829,-2188670,1
203,203,0,-2298081,-2131513,-2318298,-2188670,1
204,204,0,-1789362,-2131513,-2318298,-2150088,1
205,205,0,-1789362,-2039956,-1804829,-2150088,1
206,206,0,-2550694,-2039956,-1804829,-2057705,1
207,207,0,-2550694,-2002782,-2573247,-2057705,1
208,208,0,-1983745,-2002782,-2573247,-2020139,1
209,209,0,-1983745,-2114116,-2001176,-2020139,1
210,210,0,-2046689,-2114116,-2001176,-2132531,1
211,211,0,-2046689,-2152375,-2063830,-2132531,1
212,212,0,-2496152,-2152375,-2063830,-2171186,1
213,213,0,-2496152,-2110850,-2518670,-2171186,1
214,214,0,-1697529,-2110850,-2518670,-2129205,1
215,215,0,-1697529,-2084850,-1711651,-2129205,1
216,216,0,-2925348,-2084850,-1711651,-2103029,1
217,217,0,-2925348,-2037130,-2951367,-2103029,1
218,218,0,-1584347,-2037130,-2951367,-2054841,1
219,219,0,-1584347,-2139185,-1598041,-2054841,1
220,220,0,-2372621,-2139185,-1598041,-2157854,1
221,221,0,-2372621,-2119943,-2393285,-2157854,1
222,222,0,-1802503,-2119943,-2393285,-2138457,1
223,223,0,-1802503,-2171272,-1818135,-2138457,1
224,224,0,-2063008,-2171272,-1818135,-2190227,1
225,225,0,-2063008,-2121787,-2080687,-2190227,1
226,226,0,-1752207,-2121787,-2080687,-2140284,1
227,227,0,-1752207,-2149111,-1767735,-2140284,1
228,228,0,-1408495,-2149111,-1767735,-2167829,1
229,229,0,-1408495,-2069380,-1419669,-2167829,1
230,230,0,-2137015,-2069380,-1419669,-2087396,1
231,231,0,-2137015,-2011939,-2155495,-2087396,1
232,232,0,-1383148,-2011939,-2155495,-2029330,1
233,233,0,-1383148,-2020958,-1394248,-2029330,1
234,234,0,-2302123,-2020958,-1394248,-2038484,1
235,235,0,-2302123,-1909821,-2321798,-2038484,1
236,236,0,-2188911,-1909821,-2321798,-1926206,1
237,237,0,-2188911,-1970192,-2208025,-1926206,1
238,238,0,-2277233,-1970192,-2208025,-1987131,1
239,239,0,-2277233,-1896656,-2297077,-1987131,1
240,240,0,-2332846,-1896656,-2297077,-1912906,1
241,241,0,-2332846,-1965843,-2353340,-1912906,1
242,242,0,-2591072,-1965843,-2353340,-1982707,1
243,243,0,-2591072,-1961871,-2613884,-1982707,1
244,244,0,-2261274,-1961871,-2613884,-1978719,1
245,245,0,-2261274,-2040613,-2281166,-1978719,1
246,246,0,-2034088,-2040613,-2281166,-2058177,1
247,247,0,-2034088,-2060410,-2051638,-2058177,1
248,248,0,-1524075,-2060410,-2051638,-2078196,1
249,249,0,-1524075,-2088557,-1537223,-2078196,1
250,250,0,-2462915,-2088557,-1537223,-2106544,1
251,251,0,-2462915,-2100098,-2483752,-2106544,1
252,252,0,-2510908,-2100098,-2483752,-2118282,1
253,253,0,-2510908,-2132640,-2532974,-2118282,1
254,254,0,-2375394,-2132640,-2532974,-2151060,1
255,255,0,-2375394,-2245251,-2395976,-2151060,1
256,256,0,-2526141,-2245251,-2395976,-2264766,1
257,257,0,-2526141,-2252568,-2548672,-2264766,1
258,258,0,-2111729,-2252568,-2548672,-2272173,1
259,259,0,-2111729,-2286241,-2129871,-2272173,1
260,260,0,-2191467,-2286241,-2129871,-2306188,1
261,261,0,-2191467,-2269715,-2210724,-2306188,1
262,262,0,-2211140,-2269715,-2210724,-2289491,1
263,263,0,-2211140,-2255598,-2230442,-2289491,1
264,264,0,-2218739,-2255598,-2230442,-2275251,1
265,265,0,-2218739,-2217660,-2238666,-2275251,1
266,266,0,-1967401,-2217660,-2238666,-2236963,1
267,267,0,-1967401,-2213413,-1984299,-2236963,1
268,268,0,-2284457,-2213413,-1984299,-2232719,1
269,269,0,-2284457,-2206754,-2304692,-2232719,1
270,270,0,-1886506,-2206754,-2304692,-2225995,1
271,271,0,-1886506,-2282681,-1902387,-2225995,1
272,272,0,-2501605,-2282681,-1902387,-2302629,1
273,273,0,-2501605,-2225124,-2523607,-2302629,1
274,274,0,-2236677,-2225124,-2523607,-2244578,1
275,275,0,-2236677,-2224196,-2256120,-2244578,1
276,276,0,-2399297,-2224196,-2256120,-2243643,1
277,277,0,-2399297,-2210344,-2420617,-2243643,1
278,278,0,-1955442,-2210344,-2420617,-2229678,1
279,279,0,-1955442,-2197678,-1972901,-2229678,1
280,280,0,-2068440,-2197678,-1972901,-2216891,1
281,281,0,-2068440,-2182073,-2085964,-2216891,1
282,282,0,-2441065,-2182073,-2085964,-2201217,1
283,283,0,-2441065,-2169788,-2463413,-2201217,1
284,284,0,-1562495,-2169788,-2463413,-2188759,1
285,285,0,-1562495,-2192747,-1575811,-2188759,1
286,286,0,-2580598,-2192747,-1575811,-2212022,1
287,287,0,-2580598,-2127218,-2602604,-2212022,1
288,288,0,-2288213,-2127218,-2602604,-2145834,1
289,289,0,-2288213,-2188448,-2308005,-2145834,1
290,290,0,-2698102,-2188448,-2308005,-2207574,1
291,291,0,-2698102,-2188823,-2721903,-2207574,1
292,292,0,-2690574,-2188823,-2721903,-2207904,1
293,293,0,-2690574,-2269864,-2714549,-2207904,1
294,294,0,-2534405,-2269864,-2714549,-2289736,1
295,295,0,-2534405,-2288733,-2557263,-2289736,1
296,296,0,-2315093,-2288733,-2557263,-2308802,1
297,297,0,-2315093,-2318462,-2335206,-2308802,1
298,298,0,-2266216,-2318462,-2335206,-2338872,1
299,299,0,-2266216,-2310054,-2286085,-2338872,1
300,300,0,-2024368,-2310054,-2286085,-2330344,1
301,301,0,-2024368,-2341086,-2041968,-2330344,1
302,302,0,-2203290,-2341086,-2041968,-2361616,1
303,303,0,-2203290,-2336686,-2222755,-2361616,1
304,304,0,-2281665,-2336686,-2222755,-2357223,1
305,305,0,-2281665,-2312943,-2302097,-2357223,1
306,306,0,-2099534,-2312943,-2302097,-2333193,1
307,307,0,-2099534,-2384754,-2117419,-2333193,1
308,308,0,-2171896,-2384754,-2117419,-2405715,1
309,309,0,-2171896,-2336719,-2191319,-2405715,1
310,310,0,-2064777,-2336719,-2191319,-2357267,1
311,311,0,-2064777,-2325104,-2083121,-2357267,1
312,312,0,-1963600,-2325104,-2083121,-2345616,1
313,313,0,-1963600,-2261864,-1980619,-2345616,1
314,314,0,-1547631,-2261864,-1980619,-2281831,1
315,315,0,-1547631,-2189273,-1560670,-2281831,1
316,316,0,-1663381,-2189273,-1560670,-2208546,1
317,317,0,-1663381,-2090740,-1676844,-2208546,1
318,318,0,-1881993,-2090740,-1676844,-2109032,1
319,319,0,-1881993,-2025665,-1898083,-2109032,1
320,320,0,-1885768,-2025665,-1898083,-2043293,1
321,321,0,-1885768,-1987299,-1901948,-2043293,1
322,322,0,-2265376,-1987299,-1901948,-2004549,1
323,323,0,-2265376,-1973459,-2285365,-2004549,1
324,324,0,-1810607,-1973459,-2285365,-1990568,1
325,325,0,-1810607,-1979658,-1826279,-1990568,1
326,326,0,-1919993,-1979658,-1826279,-1996820,1
327,327,0,-1919993,-1932622,-1936407,-1996820,1
328,328,0,-1967740,-1932622,-1936407,-1949308,1
329,329,0,-1967740,-1914694,-1984792,-1949308,1
330,330,0,-1985777,-1914694,-1984792,-1931233,1
331,331,0,-1985777,-1894308,-2002782,-1931233,1
332,332,0,-2005100,-1894308,-2002782,-1910610,1
333,333,0,-2005100,-1886420,-2022455,-1910610,1
334,334,0,-2208342,-1886420,-2022455,-1902588,1
335,335,0,-2208342,-1890564,-2227371,-1902588,1
336,336,0,-2757206,-1890564,-2227371,-1906766,1
337,337,0,-2757206,-1956538,-2782229,-1906766,1
338,338,0,-1647404,-1956538,-2782229,-1973338,1
339,339,0,-1647404,-2065760,-1661291,-1973338,1
340,340,0,-2741464,-2065760,-1661291,-2083715,1
341,341,0,-2741464,-2042336,-2765542,-2083715,1
342,342,0,-2862974,-2042336,-2765542,-2060070,1
343,343,0,-2862974,-2127780,-2888964,-2060070,1
344,344,0,-2163237,-2127780,-2888964,-2146303,1
345,345,0,-2163237,-2187452,-2182104,-2146303,1
346,346,0,-1946453,-2187452,-2182104,-2206575,1
347,347,0,-1946453,-2222664,-1963282,-2206575,1
348,348,0,-2308932,-2222664,-1963282,-2242105,1
349,349,0,-2308932,-2225306,-2328918,-2242105,1
350,350,0,-2104016,-2225306,-2328918,-2244789,1
351,351,0,-2104016,-2259375,-2122220,-2244789,1
352,352,0,-2233380,-2259375,-2122220,-2279151,1
353,353,0,-2233380,-2271181,-2252551,-2279151,1
354,354,0,-2182925,-2271181,-2252551,-2291077,1
355,355,0,-2182925,-2293976,-2202076,-2291077,1
356,356,0,-2669353,-2293976,-2202076,-2314053,1
357,357,0,-2669353,-2291438,-2692684,-2314053,1
358,358,0,-2884921,-2291438,-2692684,-2311527,1
359,359,0,-2884921,-2282666,-2911099,-2311527,1
360,360,0,-2106509,-2282666,-2911099,-2302586,1
361,361,0,-2106509,-2406236,-2124602,-2302586,1
362,362,0,-2152536,-2406236,-2124602,-2427384,1
363,363,0,-2152536,-2342834,-2171192,-2427384,1
364,364,0,-2010364,-2342834,-2171192,-2363383,1
365,365,0,-2010364,-2271894,-2028097,-2363383,1
366,366,0,-2311263,-2271894,-2028097,-2291711,1
367,367,0,-2311263,-2256629,-2331597,-2291711,1
368,368,0,-1822313,-2256629,-2331597,-2276333,1
369,369,0,-1822313,-2293057,-1837901,-2276333,1
370,370,0,-1995443,-2293057,-1837901,-2313111,1
371,371,0,-1995443,-2244466,-2012336,-2313111,1
372,372,0,-2748858,-2244466,-2012336,-2264081,1
373,373,0,-2748858,-2233624,-2773424,-2264081,1
374,374,0,-1907568,-2233624,-2773424,-2253109,1
375,375,0,-1907568,-2285097,-1924572,-2253109,1
376,376,0,-2178782,-2285097,-1924572,-2305120,1
377,377,0,-2178782,-2257601,-2197417,-2305120,1
378,378,0,-2790755,-2257601,-2197417,-2277410,1
379,379,0,-2790755,-2208616,-2815507,-2277410,1
380,380,0,-1994935,-2208616,-2815507,-2227956,1
381,381,0,-1994935,-2199213,-2011970,-2227956,1
382,382,0,-3207533,-2199213,-2011970,-2218411,1
383,383,0,-3207533,-2188072,-3236371,-2218411,1
384,384,0,-1621396,-2188072,-3236371,-2207164,1
385,385,0,-1621396,-2293417,-1635395,-2207164,1
386,386,0,-3062587,-2293417,-1635395,-2313526,1
387,387,0,-3062587,-2254578,-3089385,-2313526,1
388,388,0,-436617,-2254578,-3089385,-2274313,1
389,389,0,-436617,-2329600,-441748,-2274313,1
390,390,0,5460199,-2329600,-441748,-2349981,1
391,391,0,5460199,-2191233,5512872,-2349981,1
392,392,0,3613304,-2191233,5512872,-2210570,1
393,393,0,3613304,-1446761,3649529,-2210570,1
394,394,0,5225536,-1446761,3649529,-1459152,1
395,395,0,5225536,-811477,5276433,-1459152,1
396,396,0,4389291,-811477,5276433,-817797,1
397,397,0,4389291,-99212,4432996,-817797,1
398,398,0,4862438,-99212,4432996,-98752,1
399,399,0,4862438,556634,4909738,-98752,1
400,400,0,4600779,556634,4909738,563319,1
401,401,0,4600779,1320832,4645949,563319,1
402,402,0,4938776,1320832,4645949,1334711,1
403,403,0,4938776,1979437,4986765,1334711,1
404,404,0,5010878,1979437,4986765,1999528,1
405,405,0,5010878,2792875,5059695,1999528,1
406,406,0,4705137,2792875,5059695,2820637,1
407,407,0,4705137,3455131,4750832,2820637,1
408,408,0,4692289,3455131,4750832,3489165,1
409,409,0,4692289,4230765,4738358,3489165,1
410,410,0,4785100,4230765,4738358,4272039,1
411,411,0,4785100,4742904,4832185,4272039,1
412,412,0,4760327,4742904,4832185,4789290,1
413,413,0,4760327,4675493,4807077,4789290,1
414,414,0,4778262,4675493,4807077,4721321,1
415,415,0,4778262,4790028,4825528,4721321,1
416,416,0,4397861,4790028,4825528,4836907,1
417,417,0,4397861,4745366,4441515,4836907,1
418,418,0,4202150,4745366,4441515,4791882,1
419,419,0,4202150,4746222,4243362,4791882,1
420,420,0,5277859,4746222,4243362,4792733,1
421,421,0,5277859,4680289,5329378,4792733,1
422,422,0,4393326,4680289,5329378,4726193,1
423,423,0,4393326,4747898,4436707,4726193,1
424,424,0,4613051,4747898,4436707,4794436,1
425,425,0,4613051,4693433,4658101,4794436,1
426,426,0,4929995,4693433,4658101,4739510,1
427,427,0,4929995,4653709,4978515,4739510,1
428,428,0,5004946,4653709,4978515,4699410,1
429,429,0,5004946,4676162,5053713,4699410,1
430,430,0,4650582,4676162,5053713,4722145,1
431,431,0,4650582,4707382,4696113,4722145,1
432,432,0,4540650,4707382,4696113,4753634,1
433,433,0,4540650,4693949,4585318,4753634,1
434,434,0,4901835,4693949,4585318,4740047,1
435,435,0,4901835,4672014,4949650,4740047,1
436,436,0,4896726,4672014,4949650,4717903,1
437,437,0,4896726,4684353,4944670,4717903,1
438,438,0,4915823,4684353,4944670,4730297,1
439,439,0,4915823,4734167,4964019,4730297,1
440,440,0,4857492,4734167,4964019,4780539,1
441,441,0,4857492,4805429,4905278,4780539,1
442,442,0,4719104,4805429,4905278,4852499,1
443,443,0,4719104,4763454,4764982,4852499,1
444,444,0,4979038,4763454,4764982,4810151,1
445,445,0,4979038,4795984,5027871,4810151,1
446,446,0,4454570,4795984,5027871,4842931,1
447,447,0,4454570,4832529,4498393,4842931,1
448,448,0,4740451,4832529,4498393,4879854,1
449,449,0,4740451,4785056,4787011,4879854,1
450,450,0,4834526,4785056,4787011,4831912,1
451,451,0,4834526,4758646,4881891,4831912,1
452,452,0,4849927,4758646,4881891,4805281,1
453,453,0,4849927,4777013,4897266,4805281,1
454,454,0,4784958,4777013,4897266,4823831,1
455,455,0,4784958,4807896,4831934,4823831,1
456,456,0,4724739,4807896,4831934,4854980,1
457,457,0,4724739,4796225,4771451,4854980,1
458,458,0,4968160,4796225,4771451,4843226,1
459,459,0,4968160,4779051,5016662,4843226,1
460,460,0,4864710,4779051,5016662,4825929,1
461,461,0,4864710,4784277,4912551,4825929,1
462,462,0,4953236,4784277,4912551,4831186,1
463,463,0,4953236,4784998,5001837,4831186,1
464,464,0,4872693,4784998,5001837,4831912,1
465,465,0,4872693,4808377,4920378,4831912,1
466,466,0,4941867,4808377,4920378,4855563,1
467,467,0,4941867,4797758,4990265,4855563,1
468,468,0,4502659,4797758,4990265,4844830,1
469,469,0,4502659,4846417,4546909,4844830,1
470,470,0,4464698,4846417,4546909,4893945,1
471,471,0,4464698,4822672,4508398,4893945,1
472,472,0,4745562,4822672,4508398,4869970,1
473,473,0,4745562,4785744,4792669,4869970,1
474,474,0,4163354,4785744,4792669,4832675,1
475,475,0,4163354,4775322,4204530,4832675,1
476,476,0,4872107,4775322,4204530,4822231,1
477,477,0,4872107,4713253,4920134,4822231,1
478,478,0,4702299,4713253,4920134,4759582,1
479,479,0,4702299,4727968,4748231,4759582,1
480,480,0,4840324,4727968,4748231,4774429,1
481,481,0,4840324,4701421,4887511,4774429,1
482,482,0,4645380,4701421,4887511,4747625,1
483,483,0,4645380,4698986,4691256,4747625,1
484,484,0,4538328,4698986,4691256,4745125,1
485,485,0,4538328,4668246,4582872,4745125,1
486,486,0,4994809,4668246,4582872,4714112,1
487,487,0,4994809,4634858,5044162,4714112,1
488,488,0,4802102,4634858,5044162,4680411,1
489,489,0,4802102,4640144,4849131,4680411,1
490,490,0,4984116,4640144,4849131,4685793,1
491,491,0,4984116,4670045,5032687,4685793,1
492,492,0,4779540,4670045,5032687,4715971,1
493,493,0,4779540,4721911,4826211,4715971,1
494,494,0,5016312,4721911,4826211,4768323,1
495,495,0,5016312,4725303,5065339,4768323,1
496,496,0,4425132,4725303,5065339,4771672,1
497,497,0,4425132,4810474,4468862,4771672,1
498,498,0,4668990,4810474,4468862,4857627,1
499,499,0,4668990,4765842,4714523,4857627,1
500,500,0,4465960,4765842,4714523,4812566,1
501,501,0,4465960,4762516,4510734,4812566,1
502,502,0,4065149,4762516,4510734,4809200,1
503,503,0,4065149,4725135,4105234,4809200,1
504,504,0,5164589,4725135,4105234,4771577,1
505,505,0,5164589,4667197,5215204,4771577,1
506,506,0,4680013,4667197,5215204,4713061,1
507,507,0,4680013,4729731,4726303,4713061,1
508,508,0,5004710,4729731,4726303,4776202,1
509,509,0,5004710,4698297,5053633,4776202,1
