Sample in Buffer,Sample in Window,TRIGGER,l_in[23:0],l_data_tx[23:0],r_in[23:0],r_data_tx[23:0],sample_ok
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
0,0,1,-2564189,-2186141,-2021948,-2205093,1
1,1,0,-2564189,-2173492,-2586958,-2205093,1
2,2,0,-2257955,-2173492,-2586958,-2192244,1
3,3,0,-2257955,-2147699,-2277739,-2192244,1
4,4,0,-3001281,-2147699,-2277739,-2166262,1
5,5,0,-3001281,-2202709,-3028565,-2166262,1
6,6,0,-1754417,-2202709,-3028565,-2221775,1
7,7,0,-1754417,-2313603,-1769129,-2221775,1
8,8,0,-2521090,-2313603,-1769129,-2333773,1
9,9,0,-2521090,-2293286,-2542541,-2333773,1
10,10,0,-2467925,-2293286,-2542541,-2313222,1
11,11,0,-2467925,-2379725,-2489613,-2313222,1
12,12,0,-2517631,-2379725,-2489613,-2400435,1
13,13,0,-2517631,-2339542,-2539727,-2400435,1
14,14,0,-2774646,-2339542,-2539727,-2359892,1
15,15,0,-2774646,-2360010,-2799135,-2359892,1
16,16,0,-2286655,-2360010,-2799135,-2380548,1
17,17,0,-2286655,-2396163,-2306199,-2380548,1
18,18,0,-2273027,-2396163,-2306199,-2417044,1
19,19,0,-2273027,-2411584,-2292607,-2417044,1
20,20,0,-2323156,-2411584,-2292607,-2432587,1
21,21,0,-2323156,-2438305,-2342727,-2432587,1
22,22,0,-2660350,-2438305,-2342727,-2459614,1
23,23,0,-2660350,-2414237,-2684029,-2459614,1
24,24,0,-1951192,-2414237,-2684029,-2435226,1
25,25,0,-1951192,-2454418,-1968374,-2435226,1
26,26,0,-1742652,-2454418,-1968374,-2475796,1
27,27,0,-1742652,-2349563,-1757446,-2475796,1
28,28,0,-1729529,-2349563,-1757446,-2369932,1
29,29,0,-1729529,-2348388,-1743984,-2369932,1
30,30,0,-2595883,-2348388,-1743984,-2368765,1
31,31,0,-2595883,-2269348,-2618405,-2368765,1
32,32,0,-1822357,-2269348,-2618405,-2289027,1
33,33,0,-1822357,-2282125,-1838273,-2289027,1
34,34,0,-2546453,-2282125,-1838273,-2301887,1
35,35,0,-2546453,-2212699,-2568728,-2301887,1
36,36,0,-2030547,-2212699,-2568728,-2231844,1
37,37,0,-2030547,-2189913,-2047996,-2231844,1
38,38,0,-2274375,-2189913,-2047996,-2208837,1
39,39,0,-2274375,-2164340,-2293553,-2208837,1
40,40,0,-2698551,-2164340,-2293553,-2183055,1
41,41,0,-2698551,-2164475,-2723107,-2183055,1
42,42,0,-2301954,-2164475,-2723107,-2183149,1
43,43,0,-2301954,-2201959,-2322160,-2183149,1
44,44,0,-2423925,-2201959,-2322160,-2221132,1
45,45,0,-2423925,-2166172,-2444875,-2221132,1
46,46,0,-2155030,-2166172,-2444875,-2184998,1
47,47,0,-2155030,-2213376,-2173355,-2184998,1
48,48,0,-2267109,-2213376,-2173355,-2232578,1
49,49,0,-2267109,-2254553,-2287343,-2232578,1
50,50,0,-2120392,-2254553,-2287343,-2274108,1
51,51,0,-2120392,-2308233,-2137950,-2274108,1
52,52,0,-2687529,-2308233,-2137950,-2328364,1
53,53,0,-2687529,-2260753,-2711098,-2328364,1
54,54,0,-2412778,-2260753,-2711098,-2280389,1
55,55,0,-2412778,-2347144,-2433515,-2280389,1
56,56,0,-2434614,-2347144,-2433515,-2367544,1
57,57,0,-2434614,-2333796,-2456006,-2367544,1
58,58,0,-2478325,-2333796,-2456006,-2354042,1
59,59,0,-2478325,-2374143,-2500208,-2354042,1
60,60,0,-2862240,-2374143,-2500208,-2394784,1
61,61,0,-2862240,-2394508,-2887370,-2394784,1
62,62,0,-2229970,-2394508,-2887370,-2415419,1
63,63,0,-2229970,-2410853,-2249423,-2415419,1
64,64,0,-1742915,-2410853,-2249423,-2431821,1
65,65,0,-1742915,-2403666,-1757079,-2431821,1
66,66,0,-1987930,-2403666,-1757079,-2424558,1
67,67,0,-1987930,-2335664,-2004486,-2424558,1
68,68,0,-2654158,-2335664,-2004486,-2355879,1
69,69,0,-2654158,-2318979,-2677532,-2355879,1
70,70,0,-2073242,-2318979,-2677532,-2339017,1
